,null_list
0,C01.035
1,C01.037
2,C01.973
3,C01.975
4,C01.P02
5,C01.P03
6,C01.P04
7,C01.P07
8,C01.P08
9,C02.006
10,C02.011
11,C02.013
12,C02.017
13,C02.018
14,C02.020
15,C02.021
16,C02.029
17,C02.031
18,C02.971
19,C02.972
20,C101.950
21,C110.001
22,C111.001
23,C111.002
24,C111.003
25,C111.004
26,C111.005
27,C111.006
28,C111.007
29,C111.008
30,C111.009
31,C111.950
32,C115.002
33,C12.005
34,C121.002
35,C13.P01
36,C14.028
37,C14.029
38,C14.971
39,C14.976
40,C14.A09
41,C14.P01
42,C14.P02
43,C15.010
44,C15.011
45,C19.009
46,C19.015
47,C19.020
48,C19.021
49,C19.026
50,C19.034
51,C19.035
52,C19.040
53,C19.041
54,C19.044
55,C19.055
56,C19.058
57,C19.068
58,C19.069
59,C19.070
60,C19.071
61,C19.072
62,C19.080
63,C19.081
64,C19.106
65,C19.107
66,C19.108
67,C19.972
68,C19.974
69,C19.978
70,C19.984
71,C19.985
72,C19.986
73,C19.987
74,C19.A82
75,C19.A83
76,C19.A84
77,C19.A85
78,C19.A86
79,C19.A87
80,C19.A88
81,C19.A89
82,C19.A90
83,C19.A91
84,C19.A92
85,C19.A93
86,C19.A94
87,C19.A95
88,C19.A96
89,C19.A97
90,C19.P01
91,C19.P02
92,C19.P05
93,C26.001
94,C26.950
95,C26.951
96,C26.952
97,C26.964
98,C26.966
99,C26.A36
100,C44.970
101,C44.972
102,C44.973
103,C44.974
104,C46.003
105,C46.004
106,C48.012
107,C50.P01
108,C54.004
109,C54.005
110,C56.002
111,C56.003
112,C56.971
113,C56.972
114,C56.974
115,C56.975
116,C69.003
117,C69.004
118,C69.005
119,C78.001
120,C78.002
121,C85.005
122,C85.009
123,C85.P01
124,C86.002
125,C86.004
126,C86.005
127,C89.001
128,C89.002
129,C95.001
130,C97.001
131,C97.002
132,I100.001
133,I100.002
134,I103.001
135,I103.UPW
136,M01.022
137,M01.028
138,M01.972
139,M02.972
140,M03.971
141,M08.003
142,M08.005
143,M10.022
144,M10.026
145,M10.027
146,M10.030
147,M10.950
148,M10.971
149,M10.973
150,M100.001
151,M12.024
152,M12.025
153,M12.026
154,M12.027
155,M12.028
156,M12.029
157,M12.212
158,M12.215
159,M12.218
160,M12.220
161,M12.230
162,M12.231
163,M12.232
164,M12.234
165,M12.235
166,M12.237
167,M12.245
168,M12.246
169,M12.950
170,M12.956
171,M12.957
172,M12.960
173,M12.962
174,M12.963
175,M12.964
176,M12.975
177,M12.976
178,M12.978
179,M12.979
180,M12.981
181,M12.983
182,M12.987
183,M12.990
184,M12.996
185,M12.P01
186,M12.P02
187,M12.P03
188,M13.007
189,M14.001
190,M14.002
191,M14.003
192,M14.011
193,M14.012
194,M14.016
195,M14.020
196,M14.021
197,M14.025
198,M14.026
199,M14.027
200,M14.029
201,M14.030
202,M14.039
203,M14.950
204,M14.951
205,M14.955
206,M16.971
207,M16.973
208,M16.974
209,M16.981
210,M16.982
211,M16.983
212,M16.984
213,M16.987
214,M16.P01
215,M17.001
216,M17.005
217,M17.006
218,M19.001
219,M19.002
220,M19.004
221,M20.005
222,M20.006
223,M20.011
224,M20.021
225,M20.973
226,M24.007
227,M24.950
228,M24.973
229,M24.974
230,M24.975
231,M24.976
232,M24.977
233,M28.010
234,M28.011
235,M28.012
236,M28.014
237,M28.016
238,M28.018
239,M28.972
240,M28.973
241,M28.974
242,M28.975
243,M28.978
244,M38.972
245,M38.973
246,M38.974
247,M38.975
248,M38.976
249,M38.977
250,M38.978
251,M38.979
