,merops_id,count,max,75%,50%,25%,min,std,mean
0,A01.001,653,1106,60.0,59.0,21.0,12,110.5835868723184,71.85758039816233
1,A01.001,653,1106,60.0,59.0,21.0,12,110.5835868723184,71.85758039816233
2,A01.003,673,1106,60.0,59.0,21.0,12,109.79482428441153,72.2035661218425
3,A01.004,745,1106,60.0,59.0,21.0,9,113.50844238852459,75.63892617449665
4,A01.007,746,1106,60.0,59.0,21.0,9,113.45052678986046,75.56434316353888
5,A01.009,3002,1864,116.0,59.0,27.0,3,145.9862190876538,100.49666888740839
6,A01.010,7106,3610,129.0,60.0,30.0,3,167.78086065479323,108.42471151139881
7,A01.041,7363,3610,127.0,59.0,30.0,3,169.2440092947324,108.23210647833763
8,A01.046,7375,3610,127.0,59.0,30.0,3,169.11478479273345,108.16908474576272
9,A01.057,7375,3610,127.0,59.0,30.0,3,169.11478479273345,108.16908474576272
10,A01.070,7389,3610,127.0,59.0,30.0,3,169.03939566401363,108.23088374610909
11,A01.071,7392,3610,127.0,59.0,30.0,3,169.05394629368976,108.31277056277057
12,A01.083,7392,3610,127.0,59.0,30.0,3,169.05394629368976,108.31277056277057
13,A01.A96,7392,3610,127.0,59.0,30.0,3,169.05394629368976,108.31277056277057
14,A01.P01,7392,3610,127.0,59.0,30.0,3,169.05394629368976,108.31277056277057
15,A01.P02,7392,3610,127.0,59.0,30.0,3,169.05394629368976,108.31277056277057
16,A02.010,7398,3610,127.0,59.0,30.0,3,168.99932519397854,108.25128413084617
17,A02.011,7412,3610,127.0,59.0,30.0,3,168.86780320081715,108.11994063680518
18,A02.019,7412,3610,127.0,59.0,30.0,3,168.86780320081715,108.11994063680518
19,A02.024,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
20,A02.053,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
21,A02.055,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
22,A02.056,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
23,A02.057,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
24,A02.P01,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
25,A02.P02,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
26,A02.P03,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
27,A02.P04,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
28,A02.P05,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
29,A02.P06,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
30,A02.P07,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
31,A02.P08,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
32,A02.P09,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
33,A02.P10,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
34,A02.P11,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
35,A02.P12,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
36,A02.P13,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
37,A02.P14,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
38,A02.P15,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
39,A02.P16,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
40,A02.P17,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
41,A02.P18,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
42,A02.P19,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
43,A02.P20,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
44,A22.001,346,3717,72.0,37.0,34.5,5,585.1815594843416,185.97976878612718
45,A22.002,346,3717,72.0,37.0,34.5,5,585.1815594843416,185.97976878612718
46,A22.003,470,3717,72.0,37.0,22.0,3,508.6906255476647,156.3404255319149
47,A22.004,490,3717,85.0,37.0,22.0,3,498.51743442283095,153.8265306122449
48,A22.005,490,3717,85.0,37.0,22.0,3,498.51743442283095,153.8265306122449
49,A22.006,490,3717,85.0,37.0,22.0,3,498.51743442283095,153.8265306122449
50,A22.007,510,3717,91.75,37.0,22.0,3,488.9449116441966,151.50980392156862
51,A22.P01,510,3717,91.75,37.0,22.0,3,488.9449116441966,151.50980392156862
52,A22.P02,510,3717,91.75,37.0,22.0,3,488.9449116441966,151.50980392156862
53,A28.001,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
54,A28.002,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
55,A28.003,7414,3610,126.75,59.0,30.0,3,168.8483958066155,108.10399244672242
56,A28.004,44,3717,157.5,68.5,37.5,21,1420.7884664083776,740.25
57,A28.A10,44,3717,157.5,68.5,37.5,21,1420.7884664083776,740.25
58,C01.009,9285,3717,135.0,58.0,29.0,3,358.10224053552173,155.56413570274637
59,C01.009,9285,3717,135.0,58.0,29.0,3,358.10224053552173,155.56413570274637
60,C01.013,9397,3717,134.0,58.0,29.0,3,356.4289183408364,154.30169202937108
61,C01.018,9402,3717,134.0,58.0,29.0,3,356.3434884853877,154.25834928738567
62,C01.032,8645,3611,117.0,44.0,26.0,3,379.6394487982455,145.75835743204163
63,C01.032,8645,3611,117.0,44.0,26.0,3,379.6394487982455,145.75835743204163
64,C01.032,8645,3611,117.0,44.0,26.0,3,379.6394487982455,145.75835743204163
65,C01.034,8296,3611,114.25,43.0,26.0,3,526.8982053881106,203.70250723240116
66,C01.034,8296,3611,114.25,43.0,26.0,3,526.8982053881106,203.70250723240116
67,C01.036,10037,3611,125.0,47.0,25.0,3,373.30473401244586,152.80661552256652
68,C01.040,411,622,174.0,154.0,125.0,20,118.24357686246772,181.72019464720194
69,C01.060,2012,1152,115.0,65.0,29.0,3,131.40332097963613,102.0124254473161
70,C01.070,20,231,222.5,35.0,35.0,20,93.50849947295814,101.95
71,C01.084,45,684,96.0,48.0,21.0,15,165.3441314899982,103.33333333333333
72,C02.001,1710,4558,118.0,47.0,26.0,3,356.8690067628653,125.5514619883041
73,C02.002,2130,4558,117.0,44.0,24.0,3,300.6190202675502,112.49014084507043
74,C02.004,1366,367,96.0,92.0,89.0,21,36.011970682037195,92.2203513909224
75,C02.007,8,300,161.5,36.0,35.5,19,101.23725669365574,98.875
76,C101.001,3,76,76.0,76.0,76.0,76,0.0,76.0
77,C115.001,3,76,76.0,76.0,76.0,76,0.0,76.0
78,C12.001,3,76,76.0,76.0,76.0,76,0.0,76.0
79,C12.003,3,76,76.0,76.0,76.0,76,0.0,76.0
80,C12.004,3,76,76.0,76.0,76.0,76,0.0,76.0
81,C121.001,3,76,76.0,76.0,76.0,76,0.0,76.0
82,C13.002,9,220,154.0,154.0,41.0,30,68.29246745513821,120.88888888888889
83,C13.004,12250,8746,142.0,67.0,30.0,3,234.3250876240645,130.48489795918368
84,C13.005,26,291,84.5,64.0,55.25,16,68.1686144790988,87.0
85,C14.001,826,1082,112.0,53.5,24.0,3,124.25228233189762,95.56053268765133
86,C14.003,3132,3235,111.0,59.5,28.0,3,156.16420697816486,103.1411238825032
87,C14.004,2184,3611,112.25,52.5,26.0,3,189.5757613922528,104.19139194139194
88,C14.005,7740,2274,119.0,55.0,32.0,3,158.6292892791197,105.54586563307494
89,C14.006,1621,2206,117.0,61.0,32.0,3,141.89453680846395,103.56446637877853
90,C14.007,21,496,83.0,60.0,27.0,6,109.67037191598503,81.0952380952381
91,C14.008,9,58,40.0,20.0,7.0,6,20.63371028196335,24.333333333333332
92,C14.009,405,3611,117.0,60.0,23.0,3,329.3187525629759,140.3827160493827
93,C14.010,52,399,133.75,68.0,31.75,18,98.7707554986788,104.84615384615384
94,C14.011,24,138,74.0,49.5,31.75,14,36.799077453779674,57.791666666666664
95,C14.018,49,597,246.0,94.0,37.0,3,155.0725389839825,162.3877551020408
96,C14.026,83,488,91.5,49.0,32.0,3,91.35744512572627,87.01204819277109
97,C19.001,6,76,76.0,76.0,76.0,76,0.0,76.0
98,C19.010,15,76,76.0,76.0,76.0,76,0.0,76.0
99,C19.011,12,76,76.0,76.0,76.0,76,0.0,76.0
100,C19.012,9,76,76.0,76.0,76.0,76,0.0,76.0
101,C19.013,12,76,76.0,76.0,76.0,76,0.0,76.0
102,C19.014,3,76,76.0,76.0,76.0,76,0.0,76.0
103,C19.016,21,76,76.0,76.0,76.0,76,0.0,76.0
104,C19.017,12,76,76.0,76.0,76.0,76,0.0,76.0
105,C19.018,6,76,76.0,76.0,76.0,76,0.0,76.0
106,C19.019,6,76,76.0,76.0,76.0,76,0.0,76.0
107,C19.022,6,76,76.0,76.0,76.0,76,0.0,76.0
