,merops_id,count,max,75%,50%,25%,min,std,mean,mode
0,A01.001,653,1106,60.0,59.0,21.0,12,110.5835868723184,71.85758039816233,59
1,A01.003,20,313,79.25,76.0,35.0,35,81.15384999136549,83.5,35
2,A01.004,127,684,120.5,39.0,22.0,9,147.09318160435137,105.23622047244095,21
3,A01.007,1,20,20.0,20.0,20.0,20,0.0,20.0,20
4,A01.009,2262,1864,132.0,61.0,28.25,3,154.2380779803424,108.64367816091954,36
5,A01.010,4132,3610,133.0,62.0,30.0,3,181.39669999159477,114.0012100677638,36
6,A01.041,257,1717,91.0,38.0,32.0,5,205.9413956266107,102.90661478599222,37
7,A01.046,12,83,79.25,77.0,67.25,41,17.391220355528404,69.5,41
8,A01.070,14,350,260.75,99.0,44.5,12,123.15979524518204,140.78571428571428,310
9,A01.071,3,310,310.0,310.0,310.0,310,0.0,310.0,310
10,A02.010,6,41,41.0,32.5,24.0,24,9.311283477587825,32.5,41
11,A02.011,14,76,43.0,42.0,25.5,20,15.091661331948904,38.714285714285715,20
12,A02.024,2,76,62.5,49.0,35.5,22,38.18376618407357,49.0,76
13,A22.001,302,1717,50.25,37.0,33.0,5,229.49093373577097,105.2251655629139,37
14,A22.003,124,755,73.25,21.0,21.0,3,129.6745353440914,73.63709677419355,21
15,A22.004,20,177,153.75,90.5,31.5,21,69.58665555678724,94.75,35
16,A22.007,20,177,153.75,90.5,31.5,21,69.58665555678724,94.75,35
17,A28.004,44,3717,157.5,68.5,37.5,21,1420.7884664083776,740.25,38
18,C01.009,8775,3611,138.0,62.0,29.0,3,349.0291107818761,155.79977207977208,24
19,C01.013,112,678,39.0,11.0,3.0,3,130.3750554502474,49.642857142857146,3
20,C01.018,5,224,62.0,29.0,26.0,23,85.97499636522237,72.8,29
21,C01.032,15054,3611,131.0,57.0,28.0,3,304.70953962142966,136.92095124219477,24
22,C01.034,16456,3611,131.0,55.0,27.0,3,390.99766179117427,163.00571220223625,24
23,C01.036,10037,3611,125.0,47.0,25.0,3,373.30473401244586,152.80661552256652,23
24,C01.040,411,622,174.0,154.0,125.0,20,118.24357686246772,181.72019464720194,151
25,C01.060,2012,1152,115.0,65.0,29.0,3,131.40332097963613,102.0124254473161,21
26,C01.070,20,231,222.5,35.0,35.0,20,93.50849947295814,101.95,35
27,C01.084,45,684,96.0,48.0,21.0,15,165.3441314899982,103.33333333333333,684
28,C02.001,1710,4558,118.0,47.0,26.0,3,356.8690067628653,125.5514619883041,21
29,C02.002,2130,4558,117.0,44.0,24.0,3,300.6190202675502,112.49014084507043,21
30,C02.004,1366,367,96.0,92.0,89.0,21,36.011970682037195,92.2203513909224,96
31,C02.007,8,300,161.5,36.0,35.5,19,101.23725669365574,98.875,36
